"filename","year","species","sitetype","volume","detections_algo1_50q_40s","detections_algo1_60q_50s","detections_algo1_70q_60s","detections_algo2_50q_40s","detections_algo2_60q_50s","detections_algo2_70q_60s"
"42","Sound P14-C01-37_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"43","Sound P14-C01-387_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44","Sound P14-C01-387_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45","Sound P14-C01-387_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46","Sound P14-C01-412_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47","Sound P14-C01-412_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48","Sound P14-C01-412_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49","Sound P14-C01-462_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50","Sound P14-C01-462_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51","Sound P14-C01-462_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52","Sound P14-C01-512_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53","Sound P14-C01-512_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54","Sound P14-C01-512_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55","Sound P14-C01-562_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56","Sound P14-C01-562_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57","Sound P14-C01-562_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58","Sound P14-C01-612_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59","Sound P14-C01-612_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60","Sound P14-C01-612_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61","Sound P14-C01-62_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62","Sound P14-C01-62_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"63","Sound P14-C01-62_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"64","Sound P14-C01-662_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","Sound P14-C01-662_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66","Sound P14-C01-662_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","Sound P14-C01-712_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68","Sound P14-C01-712_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69","Sound P14-C01-712_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70","Sound P14-C01-762_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71","Sound P14-C01-762_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72","Sound P14-C01-762_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73","Sound P14-C01-812_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"74","Sound P14-C01-812_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75","Sound P14-C01-812_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"76","Sound P14-C01-87_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77","Sound P14-C01-87_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"78","Sound P14-C01-87_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"79","Sound P14-C01-912_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80","Sound P14-C01-912_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81","Sound P14-C01-912_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82","Sound P14-C02-1012_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"83","Sound P14-C02-1012_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"84","Sound P14-C02-1012_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"85","Sound P14-C02-1112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"86","Sound P14-C02-1112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87","Sound P14-C02-1112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88","Sound P14-C02-112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"89","Sound P14-C02-112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90","Sound P14-C02-112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91","Sound P14-C02-12_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"92","Sound P14-C02-12_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"93","Sound P14-C02-12_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"94","Sound P14-C02-1212_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"95","Sound P14-C02-1212_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96","Sound P14-C02-1212_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97","Sound P14-C02-1312_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"98","Sound P14-C02-1312_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"99","Sound P14-C02-1312_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"100","Sound P14-C02-137_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101","Sound P14-C02-137_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102","Sound P14-C02-137_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103","Sound P14-C02-162_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"104","Sound P14-C02-162_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105","Sound P14-C02-162_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106","Sound P14-C02-187_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"107","Sound P14-C02-187_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108","Sound P14-C02-187_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109","Sound P14-C02-212_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110","Sound P14-C02-212_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111","Sound P14-C02-212_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112","Sound P14-C02-237_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
